"household_key","zip5","length_of_residence","income","children","mosaic_household","mosaic_global_household","kcl_b_ind_mosaicsgrouping","new_mover_flag","motorcycle_indicator","sc_vehicle_manufacturer_name","sc_vehicle_model_name","target"
18820791,2861,15,"90-99,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,DODGE,B1500,0
10919596,2818,15,"100-149,999",Yes,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
4298273,2882,0,"0",No,Booming and Consuming,Low Income Elders,Blue Sky Boomers,N,N,Unknown,Unknown,0
37531261,2840,6,"40-49,999",Yes,Unknown,Unknown,Unknown,N,Y,HONDA,ACCORD,0
17275253,2906,1,"90-99,999",No,Senior Discounts,Low Income Elders,Golden Year Guardians,N,N,SAAB,"9/5/19 0:00",1
15619923,2916,1,"90-99,999",Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,0
1158778,2889,0,"0",No,Digital Dependents,Hard Working Blue Collar,Singles and Starters,N,N,Unknown,Unknown,0
116806,2919,2,"90-99,999",Yes,Settled in Suburbia,Routine Service Workers,Surburban Style,Y,Y,MAZDA,SPORTAGE,1
3367755,2904,1,"30-39,999",Yes,Hope for Tomorrow,Metropolitan Strugglers,Aspirational Fusion,N,Y,TOYOTA,MOUNTAINEER,1
7243012,2840,0,"0",No,Unknown,Unknown,Unknown,N,Y,TOYOTA,CAMRY,0
904207,2831,13,"200 - 249,999",Yes,Aging of Aquarius,Bourgeois Prosperity,Booming with Confidence,N,N,CHRYSLER,TOWN & COUNTRY,0
13080576,2818,0,"0",No,Status Seeking Singles,Sophisticated Singles,Young City Solos,N,N,Unknown,Unknown,0
13554019,2920,15,"40-49,999",No,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,Y,NISSAN,ALTIMA,0
99873114,2889,15,"100-149,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
9261756,2910,0,"0",No,Blue Collar Comfort,Hard Working Blue Collar,Family Union,N,N,CHRYSLER,SEBRING,0
20248917,2886,0,"0",No,Striving Single Scene,Metropolitan Strugglers,Singles and Starters,N,N,Unknown,Unknown,0
14442831,2906,15,"200 - 249,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,VOLKSWAGEN,PASSAT,1
19236644,2852,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,1
13796970,2915,10,"100-149,999",Yes,Blue Collar Comfort,Hard Working Blue Collar,Family Union,N,Y,CHEVROLET,EXPRESS 2500,0
900488,2816,9,"90-99,999",No,Settled and Sensible,Hard Working Blue Collar,Autumn Years,N,N,FORD,RENDEZVOUS,0
16729353,2852,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
3334886,2864,14,"100-149,999",No,Fast Track Couples,Career and Family,Promising Families,N,Y,TOYOTA,IMPALA,0
20244342,2886,13,"100-149,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
12353937,2860,12,"50-59,999",Yes,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
9555754,2879,15,"40-49,999",No,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,0
18979913,2852,15,"100-149,999",Yes,Aging of Aquarius,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,0
925271,2886,3,"100-149,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,MERCEDES-BENZ,CLK320,0
13473428,2920,10,"90-99,999",Yes,No Place Like Home,Routine Service Workers,Thriving Boomers,N,N,LAND ROVER,SIERRA 2500,0
20150967,2861,15,"70-79,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,N,TOYOTA,SL,0
8519444,2828,25,"250K+",Yes,Unknown,Unknown,Unknown,N,Y,JAGUAR,XK,1
2328955,2857,0,"0",No,Town Elders,Comfortable Retirement,Golden Year Guardians,Y,N,Unknown,Unknown,0
13345300,2882,5,"200 - 249,999",Yes,Unknown,Unknown,Unknown,N,Y,MAZDA,GRAND CHEROKEE,0
10279062,2882,36,"150 - 174,999",No,American Royalty,Bourgeois Prosperity,Power Elite,N,N,FORD,F-250,1
12004589,2818,15,"100-149,999",No,Unknown,Unknown,Unknown,N,N,TOYOTA,CAMRY,0
11946718,2882,1,"100-149,999",Yes,Unknown,Unknown,Unknown,N,Y,MERCEDES-BENZ,E300,0
10331963,2920,15,"90-99,999",No,Dare to Dream,Metropolitan Strugglers,Aspirational Fusion,N,N,Unknown,Unknown,0
14154396,2822,4,"90-99,999",Yes,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,1
9891272,2905,0,"0",No,Balance and Harmony,Routine Service Workers,Family Union,N,N,PONTIAC,GRAND AM,0
3912920,2888,10,"20-29,999",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
10436302,2809,15,"60-69,999",No,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,1
1421681,2886,15,"60-69,999",Yes,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,0
621979,2910,13,"40-49,999",Yes,Blue Collar Comfort,Hard Working Blue Collar,Family Union,N,N,Unknown,Unknown,0
14807456,2916,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
19412049,2852,15,"100-149,999",No,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,Y,SATURN,AURA,0
40417613,2917,10,"150 - 174,999",Yes,Aging of Aquarius,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,0
20178143,2896,15,"200 - 249,999",No,Aging of Aquarius,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,0
504791,2818,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
10699287,2864,0,"0",No,Fast Track Couples,Career and Family,Promising Families,N,N,Unknown,Unknown,0
1827147,2888,3,"40-49,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
6727063,2885,15,"100-149,999",Yes,Boomers and Boomerangs,Bourgeois Prosperity,Booming with Confidence,N,N,TOYOTA,MALIBU,0
2933933,2911,15,"30-39,999",Yes,Digital Dependents,Hard Working Blue Collar,Singles and Starters,N,Y,TOYOTA,CR-V,0
11786913,2882,14,"90-99,999",No,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,0
17212927,2917,10,"90-99,999",No,Unknown,Unknown,Unknown,N,N,CHEVROLET,CORVETTE,1
9809758,2895,15,Under 10K,No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
3205823,2919,15,"70-79,999",No,Unknown,Unknown,Unknown,N,Y,KIA,SEPHIA,0
11785232,2882,0,"0",No,Unknown,Unknown,Unknown,N,N,HYUNDAI,ACCENT,0
7560261,2840,13,"70-79,999",No,Full Pockets  Empty Nests,Bourgeois Prosperity,Thriving Boomers,N,N,TOYOTA,COROLLA,1
5332678,2809,9,"100-149,999",Yes,Aging of Aquarius,Bourgeois Prosperity,Booming with Confidence,N,N,TOYOTA,COROLLA,0
5293090,2888,0,"0",No,Unknown,Unknown,Unknown,N,Y,MAZDA,"3",0
8313629,2860,15,Under 10K,Yes,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,N,TOYOTA,COROLLA,0
18673835,2886,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
75204675,2878,5,"250K+",Yes,Unknown,Unknown,Unknown,Y,N,INFINITI,M37,0
3831917,2920,3,"40-49,999",No,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,Y,FORD,TAURUS,1
16781123,2921,12,"100-149,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,LINCOLN,TOWN CAR,0
5690270,2806,15,"250K+",No,American Royalty,Bourgeois Prosperity,Power Elite,N,N,Unknown,Unknown,0
456159,2919,15,"100-149,999",No,No Place Like Home,Routine Service Workers,Thriving Boomers,N,Y,INFINITI,QX56,0
99704914,2816,0,"0",No,Unknown,Unknown,Unknown,N,N,MAZDA,PROTEGE,0
6728751,2920,11,"100-149,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
86045946,2919,0,"40-49,999",Yes,Blue Collar Comfort,Hard Working Blue Collar,Family Union,N,N,Unknown,Unknown,0
6352029,2906,15,"100-149,999",Yes,Couples with Clout,Bourgeois Prosperity,Power Elite,N,Y,MAZDA,VERANO,1
13100225,2865,15,"90-99,999",No,Unknown,Unknown,Unknown,N,N,HONDA,CR-V,0
195680,2919,0,"0",No,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,0
20281059,2919,0,"0",No,Full Pockets  Empty Nests,Bourgeois Prosperity,Thriving Boomers,N,Y,VOLVO,XC60,0
6770467,2860,15,"90-99,999",Yes,Progressive Potpourri,Routine Service Workers,Middle Class Melting Pot,N,Y,DODGE,LACROSSE,1
14585129,2865,14,"90-99,999",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,N,SUBARU,LEGACY,0
9287610,2818,15,"100-149,999",Yes,Unknown,Unknown,Unknown,N,N,HONDA,CR-V,0
17214950,2917,13,"150 - 174,999",Yes,Fast Track Couples,Career and Family,Promising Families,N,Y,NISSAN,ALTIMA,0
2886361,2864,15,"175 - 199,999",Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,VOLKSWAGEN,JETTA,0
2692620,2911,15,"90-99,999",Yes,No Place Like Home,Routine Service Workers,Thriving Boomers,N,N,FORD,FOCUS,1
7486699,2860,15,"70-79,999",Yes,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,0
3600667,2816,15,"40-49,999",Yes,Unknown,Unknown,Unknown,N,N,CHRYSLER,PACIFICA,1
71975345,2806,15,"175 - 199,999",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,HONDA,FIT,1
9663771,2908,0,"0",No,Settled in Suburbia,Routine Service Workers,Surburban Style,N,Y,FORD,TRAILBLAZER,0
11065297,2915,15,"60-69,999",Yes,Blue Collar Comfort,Hard Working Blue Collar,Family Union,N,N,GMC,TERRAIN,0
20422765,2886,0,"0",No,Birkenstocks and Beemers,Routine Service Workers,Middle Class Melting Pot,N,N,Unknown,Unknown,0
37565589,2916,15,"20-29,999",No,Digital Dependents,Hard Working Blue Collar,Singles and Starters,N,N,MERCEDES-BENZ,E320,1
14641985,2809,15,"90-99,999",Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,DODGE,SHADOW,0
869818,2919,10,"100-149,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
12924204,2842,15,"150 - 174,999",Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,CHEVROLET,CHEVY PICKUP,0
7209064,2920,6,"100-149,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,NISSAN,SENTRA,0
91396778,2806,0,"0",No,Senior Discounts,Low Income Elders,Golden Year Guardians,N,N,NISSAN,ALTIMA,1
2585009,2886,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
3979852,2864,49,"40-49,999",No,No Place Like Home,Routine Service Workers,Thriving Boomers,N,N,JEEP,GRAND CHEROKEE,0
11197370,2882,0,"0",No,Full Pockets  Empty Nests,Bourgeois Prosperity,Thriving Boomers,N,N,Unknown,Unknown,0
579810,2863,15,"50-59,999",No,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,INFINITI,QX56,1
49275813,2910,0,"0",No,Unknown,Unknown,Unknown,N,N,ACURA,TL,0
11709466,2886,15,"20-29,999",No,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,DODGE,GRAND CARAVAN,0
6920767,2905,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
14831039,2822,13,"150 - 174,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,NISSAN,PT CRUISER,1
4014294,2919,12,"0",Yes,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,N,Unknown,Unknown,0
2121388,2919,10,"90-99,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
10859956,2882,14,"175 - 199,999",Yes,Golf Carts and Gourmets,Comfortable Retirement,Booming with Confidence,Y,Y,FORD,F-150,0
17900878,2861,15,"100-149,999",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
11543037,2889,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,FORD,TAURUS,0
348331,6239,0,"0",No,Unknown,Unknown,Unknown,N,Y,TOYOTA,VELOSTER,0
4097120,2878,0,"250K+",Yes,Sports Utility Families,Career and Family,Surburban Style,Y,N,Unknown,Unknown,0
4048368,2835,0,"0",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,TOYOTA,TACOMA,1
2928867,2917,0,"0",No,Settled in Suburbia,Routine Service Workers,Surburban Style,N,Y,FORD,ESCAPE,0
3049904,2835,15,"50-59,999",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
14563280,2822,0,"175 - 199,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,MINI,EXPLORER,0
18274879,2906,0,"0",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,HONDA,ACCORD,0
13381853,2920,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
5644842,2891,3,"150 - 174,999",No,No Place Like Home,Routine Service Workers,Thriving Boomers,N,N,ISUZU,AXIOM,0
12190423,2882,0,"0",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,TOYOTA,COROLLA,1
14847997,2861,6,"90-99,999",Yes,Unknown,Unknown,Unknown,N,N,NISSAN,ALTIMA,1
4050177,2835,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
100053546,2909,0,"0",No,Unknown,Unknown,Unknown,N,N,HYUNDAI,ELANTRA,0
17853260,2910,15,"40-49,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
1047459,2910,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,0
3203876,2919,0,"0",No,No Place Like Home,Routine Service Workers,Thriving Boomers,N,N,Unknown,Unknown,0
99786737,2889,0,"0",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,0
18941486,2910,15,"90-99,999",No,Aging in Place,Comfortable Retirement,Autumn Years,Y,Y,MERCURY,MILAN,0
14661354,2861,15,"10-19,999",No,Unknown,Unknown,Unknown,N,N,TOYOTA,CAMRY,0
12402423,2915,15,"100-149,999",No,No Place Like Home,Routine Service Workers,Thriving Boomers,N,Y,NISSAN,SONATA,0
25085264,2920,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,SCION,XA,1
10265097,2874,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
19054911,2828,0,"0",No,Wired for Success,Sophisticated Singles,Significant Singles,N,N,Unknown,Unknown,0
4179649,2864,0,"0",No,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,TOYOTA,AVALON,0
90087494,2852,10,"30-39,999",Yes,Mid-scale Medley,Hard Working Blue Collar,Cultural Connections,N,N,Unknown,Unknown,0
6841908,2816,0,"0",No,Booming and Consuming,Low Income Elders,Blue Sky Boomers,N,N,HONDA,ACCORD,0
85654170,2904,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
14666755,2865,15,"100-149,999",No,Unknown,Unknown,Unknown,N,N,LINCOLN,LS,0
2845359,2908,0,"0",No,Unknown,Unknown,Unknown,N,N,JEEP,GRAND CHEROKEE,1
20722165,2852,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
4350387,2904,4,"40-49,999",Yes,Unknown,Unknown,Unknown,N,N,BMW,"330I",0
40714507,2920,1,"250K+",Yes,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,JEEP,WRANGLER,0
18396343,2828,15,"90-99,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,N,Unknown,Unknown,1
12183358,2865,0,"0",No,Unknown,Unknown,Unknown,N,N,MERCEDES-BENZ,E320,0
1077464,2886,15,"100-149,999",Yes,Unknown,Unknown,Unknown,N,Y,TOYOTA,COROLLA,0
14179102,2882,0,"0",No,Unknown,Unknown,Unknown,N,Y,JEEP,SEBRING,0
7640663,2817,0,"0",No,Aging of Aquarius,Bourgeois Prosperity,Booming with Confidence,N,Y,FORD,FUSION,1
12176361,2842,15,"175 - 199,999",Yes,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
986534,2816,0,"0",No,Unknown,Unknown,Unknown,N,Y,BUICK,LUCERNE,1
7784323,2920,0,"0",No,No Place Like Home,Routine Service Workers,Thriving Boomers,N,N,Unknown,Unknown,0
7867549,2920,8,"70-79,999",Yes,Unknown,Unknown,Unknown,N,N,CHEVROLET,IMPALA,0
11623909,2852,0,"0",No,Settled in Suburbia,Routine Service Workers,Surburban Style,N,Y,NISSAN,JUKE,1
10423491,6770,15,"10-19,999",Yes,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,N,Unknown,Unknown,0
1824824,2878,9,"40-49,999",No,Birkenstocks and Beemers,Routine Service Workers,Middle Class Melting Pot,N,N,MAZDA,"6",0
643687,2816,0,"0",No,Blue Collar Comfort,Hard Working Blue Collar,Family Union,N,N,GMC,YUKON,1
4177837,2919,0,"100-149,999",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
11627057,2919,3,"70-79,999",Yes,Tough Times,Low Income Elders,Economic Challenges,N,N,Unknown,Unknown,0
3277682,2904,15,"70-79,999",No,Suburban Attainment,Routine Service Workers,Surburban Style,N,Y,NISSAN,AVEO,1
2926192,2908,13,"90-99,999",Yes,No Place Like Home,Routine Service Workers,Thriving Boomers,N,N,HONDA,ACCORD,0
5102251,2806,3,"200 - 249,999",Yes,Picture Perfect Families,Career and Family,Power Elite,N,N,Unknown,Unknown,0
75136902,2904,0,"0",No,Settled in Suburbia,Routine Service Workers,Surburban Style,N,N,HONDA,ACCORD,0
6290680,2882,12,"175 - 199,999",Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,CHEVROLET,MALIBU,0
3606835,2904,0,"0",No,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,TOYOTA,VENZA,1
20154595,2874,0,"0",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,TOYOTA,ODYSSEY,0
4635579,2816,0,"0",No,Unknown,Unknown,Unknown,N,N,JEEP,GRAND CHEROKEE,0
1961834,2911,13,"50-59,999",Yes,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,N,Unknown,Unknown,0
16409541,2861,15,"40-49,999",Yes,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,Y,MERCURY,GRAND MARQUIS,0
10981562,2915,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
12305302,2905,9,"100-149,999",Yes,No Place Like Home,Routine Service Workers,Thriving Boomers,N,Y,Hyundai,Tucson,0
6701726,2879,0,"0",No,Reaping Rewards,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,1
2017252,2886,13,"50-59,999",No,Unknown,Unknown,Unknown,N,N,TOYOTA,COROLLA,0
736538,2852,15,"90-99,999",Yes,Unknown,Unknown,Unknown,N,N,TOYOTA,TACOMA,0
18871961,2917,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
17585525,2885,15,"90-99,999",No,Picture Perfect Families,Career and Family,Power Elite,N,N,CHEVROLET,IMPALA,0
13368317,2895,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
3924160,2904,0,"0",No,Unknown,Unknown,Unknown,N,Y,NISSAN,SENTRA,0
99720002,2905,15,"150 - 174,999",No,Status Seeking Singles,Sophisticated Singles,Young City Solos,N,N,FORD,F-150,0
19600282,2886,0,"0",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,MERCEDES-BENZ,TAURUS,0
86064475,2889,13,"40-49,999",Yes,Unknown,Unknown,Unknown,N,N,TOYOTA,CAMRY,1
75325363,2828,15,"70-79,999",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
4628611,2804,11,"175 - 199,999",Yes,Fast Track Couples,Career and Family,Promising Families,N,N,CHRYSLER,"300M",0
1075720,2831,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,0
14620140,2921,12,"100-149,999",Yes,Settled in Suburbia,Routine Service Workers,Surburban Style,N,N,Unknown,Unknown,0
7131675,2921,13,"175 - 199,999",Yes,Unknown,Unknown,Unknown,N,N,SUBARU,MAXIMA,0
5963335,2888,15,"50-59,999",No,Unknown,Unknown,Unknown,N,N,TOYOTA,COROLLA,0
18830868,2886,15,"30-39,999",Yes,No Place Like Home,Routine Service Workers,Thriving Boomers,N,Y,BMW,X5,0
4048368,2835,15,"175 - 199,999",Yes,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,Y,TOYOTA,PRIUS,0
718142,2916,10,"70-79,999",No,Aging in Place,Comfortable Retirement,Autumn Years,N,Y,JEEP,RIVIERA,1
49118715,2817,15,"150 - 174,999",No,Unknown,Unknown,Unknown,N,N,CADILLAC,VERANO,0
14713463,2916,10,"30-39,999",Yes,Town Elders,Comfortable Retirement,Golden Year Guardians,N,N,Unknown,Unknown,0
10149177,2895,15,"50-59,999",Yes,Settled and Sensible,Hard Working Blue Collar,Autumn Years,N,N,TOYOTA,COROLLA,0
18396252,2814,0,"0",No,Unknown,Unknown,Unknown,N,N,Unknown,Unknown,1
10317308,2905,0,"0",No,Heritage Heights,Metropolitan Strugglers,Cultural Connections,N,N,Unknown,Unknown,0
11028940,2881,0,"0",No,Settled in Suburbia,Routine Service Workers,Surburban Style,N,N,PONTIAC,G5,1
8373054,2915,13,"40-49,999",Yes,Unknown,Unknown,Unknown,N,N,FORD,TAURUS,0
687819,2903,0,"0",No,Unknown,Unknown,Unknown,N,N,VOLVO,"850",0
7028501,2888,13,"70-79,999",Yes,Rooted Flower Power,Post Industrial Survivors,Blue Sky Boomers,N,N,Unknown,Unknown,1
15430449,2891,15,"10-19,999",Yes,Aging of Aquarius,Bourgeois Prosperity,Booming with Confidence,N,N,DODGE,DAKOTA,0
7251799,2864,10,"90-99,999",Yes,Unknown,Unknown,Unknown,Y,N,Unknown,Unknown,0
5121147,2864,15,"100-149,999",Yes,No Place Like Home,Routine Service Workers,Thriving Boomers,N,Y,CHEVROLET,MALIBU,1
86038719,2852,4,"150 - 174,999",No,Unknown,Unknown,Unknown,N,Y,FORD,F-150,0
10028032,2818,0,"0",No,Silver Sophisticates,Bourgeois Prosperity,Booming with Confidence,N,N,Unknown,Unknown,0
